,Titular,URL,Usuari,Entrada,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Categoria,Karma,Data Submissió
44," Colección fotográfica de máscaras mortuorias de personajes famosos, 1300-1950 ",https://rarehistoricalphotos.com/death-masks-famous-people/,javierchiclana,"Las máscaras mortuorias son reliquias fascinantes pero ligeramente inquietantes de una época anterior a las fotos. Hasta que las cámaras los volvieron redundantes, era común que a las personas notables se les aplicara metal, cera o yeso en la cara cuando morían, creando una “máscara mortuoria”... Isaac Newton (1643-1727), William Shakespeare (1564-1616), Dante Alighieri (1265-1321), Martín Lutero (1483-1546), Ludwig van Beethoven (1770-1827), Lorenzo de 'Medici (1449-1492), Napoleón Bonaparte (1769-1821)...",122,3637,18,79,43,2,cultura,416,10-04-21 17:53
45, La anomalía g−2 del muón provoca un tsunami de publicaciones entre los físicos teóricos ,https://francis.naukas.com/2021/04/10/la-anomalia-g−2-del-muon-provoca-un-tsunami-de-publicaciones-entre-los-fisicos-teoricos/,Waskachu,El pasado 7 de abril se anunció un nuevo resultado experimental para el momento magnético anómalo del muón. La desviación respecto a la predicción teórica de consenso sube de 3.7 a 4.2 sigmas. Buenas noticias para los físicos teóricos que esperaban el anuncio con un nuevo artículo bajo el brazo; en pocas horas se enviaron 36 artículos teóricos al servidor arXiv citando el nuevo resultado (que aparecieron en la web el día siguiente). Más de cien autores escribieron dichos artículos con antelación [...] Nuevo tsunami de publicaciones teóricas.,157,1797,30,76,81,2,ciencia,376,10-04-21 23:35
46," ""Mi madre no murió por la covid sino por el abandono"" ",https://www.laopiniondemurcia.es/comunidad/2021/04/10/madre-murio-covid-abandono-46403561.html?fbclid=IwAR3orx_4WIOVjKa-aQ-zWJZkH1KQJ7oSZr261vfIlXs7JTxcY4xqiweSENk,Ratoncolorao,"La hija de una fallecida en la Residencia Caser envía una carta a su madre a modo de homenaje y reivindicación. "" Digo esto porque el no poder despedirnos de ella, el no haber podido acreditar personalmente su fallecimiento hace que tenga dudas de su desenlace, después de las numerosísimas mentiras que nos tuvieron diciendo cada día. A mi madre no la mató el covid, a mi madre la mató el abandono, el estar más de dos semanas atada en una cama, sin los cuidados más básicos y sin un mísero vaso de agua. """,501,710,49,190,311,5,actualidad,373,10-04-21 16:51
47, La NASA pospone el histórico vuelo de su helicóptero Ingenuity en Marte ,https://www.rtve.es/noticias/20210410/nasa-pospone-historico-vuelo-su-helicoptero-ingenuity-marte/2085370.shtml,nereira,"El que sería el primer intento de vuelo propulsado en otro planeta, ha sido reprogramado ""para no antes del 14 de abril"". El motivo del retraso:  un fallo durante una prueba de giro de alta velocidad de los rotores de la pequeña aeronave",116,726,31,61,55,1,actualidad,394,10-04-21 22:22
48, Corinna Larsen contrató a una agencia de detectives para “arruinar” la reputación del fiscal suizo que la investiga ,https://elpais.com/espana/2021-04-10/corinna-larsen-contrato-a-una-agencia-de-detectives-para-arruinar-la-reputacion-del-fiscal-suizo-que-la-investiga.html,Extratenestre,Correos robados o hackeados a Alp Services revelan la supuesta relación de la examiga del rey emérito con la empresa.,511,1007,42,200,311,2,actualidad,410,10-04-21 10:15
49," Pederastia en la Iglesia: «Mi vida ya me la jodieron, y por más que intenté denunciar, mi caso ya ha prescrito» ",https://diario16.com/pederastia-en-la-iglesia-mi-vida-ya-me-la-jodieron-y-por-mas-que-intente-denunciar-mi-caso-ya-ha-prescrito/,manuen,"Jordi era un niño muy revoltoso y cuando se portaba mal le mandaban al despacho del director, «que me pegaba con una regla en el culo y luego me lo acariciaba. Así empezaron los tocamientos de quien era un pederasta en serie, el hermano jesuita y profesor Lluís To. Cuando se lo conté a un profesor del colegio, en vez de ayudarme, me dio un bofetón para que me callara», Era una verdadera omertá, la ley del silencio, a pesar de que en el colegio era un secreto a voces lo que el padre To hacía a los menores.",662,1560,56,256,406,6,actualidad,466,10-04-21 17:18
50, Intervenidas 176 toneladas de alimentos para personas vulnerables a una entidad coruñesa ,https://www.elespanol.com/quincemil/articulos/actualidad/intervenidas-176-toneladas-de-alimentos-para-personas-vulnerables-a-una-entidad-corunesa,pinaveta,"La asociación había modificado el etiquetado y no entregó los productos, valorados en más de 285.000 euros, a las personas desfavorecidas. La Guardia Civil investigó a dos personas como presuntas autoras de un delito contra la salud pública",451,1920,19,169,282,0,actualidad,420,10-04-21 22:49
51, El virólogo más prestigioso de EEUU señala el lugar al que no va ni siquiera ya vacunado ,https://www.huffingtonpost.es/entry/el-virologo-mas-prestigioso-de-eeuu-senala-el-lugar-al-que-no-va-ni-siquiera-ya-vacunado_es_6070739ac5b6c795e152a438,filosofo,"Fauci no tiene planes para comer en el interior de un restaurante ni ir al cine. “Creo que, incluso estando vacunado, no entraría en un lugar cerrado y lleno de gente donde no se usan mascarillas”. Y  tampoco piensa hacer ningún viaje: “Realmente no me veo haciéndolo durante algún tiempo”.",314,5217,120,133,181,33,actualidad,450,10-04-21 20:47
52," Georg Michael Welzel, el desconocido al que el franquismo ejecutó el mismo día que Puig Antich ",https://www.publico.es/politica/georg-michael-welzel-georg-michael-welzel-desconocido-franquismo-ejecuto-dia-puig-antich.html,Joya,"Hace menos de medio siglo la pena de muerte todavía existía en España. Las últimas dos ejecuciones las ordenó el régimen de Franco y acabaron con la vida de Salvador Puig Antich y Georg Michael Welzel. La historia del primero es conocida por todos. No así la del segundo, al que mataron tras un ajusticiamiento espantoso para despolitizar el caso del anarquista y sin que se supieran su identidad y nacionalidad verdaderas.",278,2832,52,115,163,16,cultura,437,10-04-21 21:30
53, Darias avanza que la vacuna de Janssen llegará a España el martes ,https://www.lavozdegalicia.es/noticia/sociedad/2021/04/10/darias-avanza-vacuna-janssen-llegara-espana-martes/00031618056615692336507.htm,nereira,"La ministra de Sanidad, Carolina Darias, avanzó este sábado que las primeras vacunas de Janssen, que solo precisa de una dosis, llegarán a España este martes. Las previsiones del ministerio es que España reciba hasta 5,5 millones de viales de este fármaco entre abril y junio. «El martes a primera hora llegan estas vacunas y en principio se va a aplicar de acuerdo con la última actualización de la estrategia de vacunación en la misma tipología que las de RNA; es decir, que iremos convergiendo de 80 años para abajo», explicó Darias.",243,699,83,120,123,3,actualidad,412,10-04-21 14:38
54, La acusada de matar a su bebé en Torreforta lo habría confesado a unas amigas ,https://www.diaridetarragona.com/tarragona/La-acusada-de-matar-a-su-bebe-en-Torreforta-lo-habria-confesado-a-unas-amigas-20210410-0001.html,Devilor,"El origen de toda esta escabrosa historia habría comenzado en verano de 2019 durante un viaje que la joven realizó a Marruecos. Durante el mismo se quedó embarazada. De vuelta a España, en otoño del mismo año, la joven estuvo realizando unos cursos. Habría manifestado a sus amigas de aula su intención de abortar para ocultar la situación a su padre. Incluso habría acudido a algún centro sanitario para ello. Pero ya no era posible la interrupción con píldora y se la derivó a un centro donde sí podrían practicarle una interrupción voluntaria...",240,3131,101,121,119,19,actualidad,465,10-04-21 14:34
55," 40 años de ""El crack"" (Garci, 1981):  ""Clásico (...) y una de las más impactantes (en España)"". ",https://elpalomitron.com/el-crack-1981-una-retrospectiva/,Deckardio,"""El crack no supuso únicamente la construcción de un clásico moderno sino también la creación de un modelo de cine negro español que por primera vez asomaba a nuestras pantallas tras la resaca de la censura dictatorial y cuya estela continuará en películas venideras"" (""No habrá paz para los malvados"", ""La isla mínima"").",147,1181,66,70,77,0,cultura,521,10-04-21 15:24
56, La caja de pandora en una residencia de la Barceloneta: el caos que descubrió Salud ,https://www.metropoliabierta.com/distritos/ciutat-vella/residencia-barceloneta-coronavirus-caos_38358_102.html,Idoia_Perez_Perez,"El caos era absoluto. El trato con los usuarios, indecente. Hacía semanas que los familiares lo denunciaban por tierra, mar y aire. Pero todo lo que recibieron fueron largas. ""Todo está controlado"". ""Tranquilos"".",384,4343,37,152,232,1,actualidad,407,10-04-21 15:56
57, Pide un Cabify y Cabify lo subcontrata para que se lleve a sí mismo al aeropuerto ,https://www.elmundotoday.com/2021/04/pide-un-cabify-y-cabify-lo-subcontrata-para-que-se-lleve-a-si-mismo-al-aeropuerto/,ChanVader,"«Me tuve que llevar a mí mismo al aeropuerto perdiendo 18 euros. Apechugué porque, si rechazas un encargo, igual no te vuelven a llamar», explica este cliente y proveedor de la compañía. «Lo bueno es que el coche llegó enseguida y el trato fue impecable porque sé lo que quiero y lo que me gusta», dice. Se valoro a sí mismo con cuatro estrellas. «Nunca valoro con cinco estrellas porque, como cliente, soy bastante exigente», puntualiza Cardeñeras.",475,1309,24,215,260,12,actualidad,416,10-04-21 18:03
58, La historia de los primeros navegantes de al-Andalus ,https://revistadehistoria.es/los-primeros-navegantes-de-al-andalus/,Octaviano,"Los andalusíes estaban acostumbrados a navegar por las costas de al-Andalus tomando como referencia los accidentes geográficos del litoral, como el macizo del Montgó en la costa de Denia en Alicante, o el Mulhacén de Granada que podían divisarse desde el mar. La navegación sólo era posible en primavera y otoño; con los vientos del este y el oeste, se podía llegar al punto más extremo del Próximo Oriente Mediterráneo, que era el puerto de Acre en la bahía de Haifa, actual Israel, y por otro lado a la bahía de Cádiz.",115,983,17,61,54,1,cultura,413,10-04-21 15:30
59, Destruyen una importante colonia de avión común ,https://zamorabiodiversa.wordpress.com/2021/04/10/destruyen-una-importante-colonia-de-avion-comun/,martins,"Esta colonia de aviones comunes (Delichon urbica), la mayor de la ciudad de Zamora y una de las más importantes de la provincia, ya no existe: ha sido destruida por completo. Lejos de buscar una solución o alternativa, los autores se han preocupado a conciencia de impedir la reconstrucción de los nidos colocando unos dispositivos especiales en todos y cada uno de los huecos del alero que contenían nidos. Se han gastado una pasta que podían haber invertido con mejor intención pero al final han escogido el peor camino.",426,2631,62,170,256,3,actualidad,472,10-04-21 18:24
60, La familia de Tarragona infectada de Covid-19 que cruzó España en su coche ,https://www.diaridetarragona.com/tarragona/La-familia-de-Tarragona-infectada-de-Covid-19-que-cruzo-Espana-en-su-coche-20210407-0062.html,Meneador_Compulsivo,"Una familia de Tarragona está confinada tras dar positivo. La pruebas de la familia dieron positivo Mérida. La familia subió a su coche y se plantó en Cataluña. La Guardia Civil alertó a los Mossos de que si localizaban el coche los ocupantes estaban enfermos. La historia tiene un trasfondo de interrogantes porque la familia tarraconense estaría de vacaciones en Mérida cuando el confinamiento era autonómico. La familia no fueron los únicos positivos, otras 5 personas, relacionadas con ésta y residentes en Extremadura también dieron positivo.",426,2607,62,159,267,2,actualidad,436,10-04-21 16:02
61, Hackean los servidores de actualización de los teléfonos Gigaset para distribuir malware ,https://unaaldia.hispasec.com/2021/04/hackean-los-servidores-de-actualizacion-de-los-telefonos-gigaset-para-distribuir-malware.html,painful,"Desde el pasado 27 de Marzo, varios usuarios de smartphones de la marca Gigaset comenzaron a quejarse de varias aplicaciones maliciosas que aparecían instaladas en sus dispositivos sin su consentimiento, la mayor parte de ellos son de origen alemán. La aplicación maliciosa instalada utilizaba como nombre ‘easenf’, aunque también se han detectado casos en los que utilizaba los nombres ‘gem’, ‘smart’, y ‘xiaoan’. Uno de los mayores problemas de este malware era su desinstalación, ya que tan pronto como las víctimas la desinstalaban, ésta volvía",154,935,17,81,73,1,tecnología,371,10-04-21 14:05
62, Detenidas cuatro personas por intentar secuestrar a un camionero para conseguir casi 2.000 kilos de cocaína ,https://cadenaser.com/emisora/2021/04/10/radio_valencia/1618047962_795879.html,rodda2206,"La Guardia Civil ha detenido a cuatro personas en Museros, Rocafort y València que intentaron secuestrar al conductor de un camión que transportaba, por error, casi 2.000 kilos de cocaína. El suceso ocurrió en junio del año pasado, cuando una organización dedicada al narcotráfico adjudicó por error un cargamento de 1.861 kilos de esta droga a este camión que transportaba zumo de piña. ",253,1875,33,120,133,1,actualidad,362,10-04-21 14:54
63, Julian Assange cumple 2 años en la prision de Belmarsh este domingo [EN} ,https://www.crowdjustice.com/case/assangeappeal/,lodudo,El domingo 11 de abril Julian habrá cumplido 2 años completos en la prision de Belmarsh. 730 días. Este día marcará el comienzo de su tercer año de encarcelación.  Están previstas protestas y acciones de solidaridad en todo el mundo para darle difusión.,700,707,55,296,404,3,actualidad,371,10-04-21 09:46
64, Cultivo de supercristales a gran velocidad: el ejemplo de la hoganita ,https://www.investigacionyciencia.es/revistas/investigacion-y-ciencia/supernovas-extremas-821/cultivo-de-supercristales-a-gran-velocidad-el-ejemplo-de-la-hoganita-19477,Ergo,,177,4640,24,92,85,1,ciencia,431,10-04-21 09:51
65, Se fue de España por la precariedad y ahora enseña a los robots a tener sentido común ,https://www.elconfidencial.com/tecnologia/2021-04-08/pablo-lanillos-investigador-robotica_3023764/,aiounsoufa,"""Yo soy una consecuencia de la crisis de 2008"", dice Pablo Lanillos (Madrid, 1981). Este doctor en Inteligencia Artificial decidió hacer las maletas y seguir su carrera lejos de España. Era 2012, apenas había rebasado la treintena y las perspectivas no eran muy buenas. ""Me fui a Portugal. Que 'a priori' puede parecer un país con menos fortaleza económica y menos oportunidades, pero no. La opción que tenía, si no me iba, era entrar en bucle de encadenar contratos de tres meses a saber hasta cuándo"".",450,2088,120,178,272,3,tecnología,414,10-04-21 11:20
66," Kichi, alcalde de Cádiz: ""A ver si así Vox y OkDiario lo entienden"" ",https://mobile.twitter.com/JM_Kichi/status/1380801191949565952,er11s111,"""Cuando llegamos la deuda a autónomos era de 44 millones. Ahora, 428.000 euros. Si haces la cuenta, sencilla, debemos desde que gobernamos 43 millones 572.000 euros menos a los autónomos. Es fácil.""",1442,8883,151,569,873,9,actualidad,395,10-04-21 14:10
67, Una academia hacker estatal y una inversión de 450 millones de euros: así quiere el Gobierno impulsar la ciberseguridad ,https://www.xataka.com/pro/academia-hacker-estatal-inversion-450-millones-euros-asi-quiere-gobierno-impulsar-ciberseguridad-espanola,reminiscencia,"El Gobierno de España va a invertir 450 millones en los próximos tres años para impulsar el sector de la ciberseguridad de nuestro país y, entre las medidas que se llevarán a cabo con ese desembolso, va a crear un programa formativo de seguridad cibernética que ha denominado Academia Hacker, según ha informado el Ministerio de Asuntos Económicos y Transformación Digital en una nota.",334,1940,125,140,194,0,tecnología,419,09-04-21 22:03
68," El plan para salvar a Felipe VI y a la monarquía de Juan Carlos, con Elena y Cristina fuera de control ",https://www.elespanol.com/reportajes/20210410/felipe-vi-monarquia-juan-carlos-elena-cristina/572444353_0.html,candonga1,"La vuelta al trabajo después de una Semana Santa tan excepcionalmente tranquila tenía una cita importante en Zarzuela. Jaime Alfonsín, Jefe de la Casa del Rey, mantenía su tercer encuentro con la vicepresidenta del Gobierno, Carmen Calvo, para seguir con la hoja de ruta que presidencia del Gobierno y la jefatura del Estado se han marcado hacia un nuevo modelo de monarquía.",363,5098,81,127,236,3,politica,376,10-04-21 06:52
69," Emprendedor megalómano, inversores saudíes y la fiebre de las startups: el fiasco de WeWork ",https://valenciaplaza.com/emprendedor-megalomano-inversores-saudies-y-la-fiebre-de-las-startups-el-fiasco-de-wework,Quinqui,"En un momento se produjo una situación confusa con un periodista. Había pedido un café con leche y el CEO un capuchino, sin embargo el CEO se llevaba el café con leche. Los camareros de la empresa le corrigieron al periodista: ""es que aquí los llamamos al revés"". Resulta que el CEO llamaba capuchino al café con leche y, en lugar de corregirle, los empleados habían cambiado los nombres. Si ese era su poder de convicción en la distancia corta, no extraña que se hiciera un patrimonio de 750 millones vendiendo humo",198,3811,31,94,104,0,actualidad,399,10-04-21 10:04
70, La Junta Electoral amonesta por tercera vez a Díaz Ayuso por incumplir la ley electoral ,https://elpais.com/espana/madrid/2021-04-10/la-junta-electoral-amonesta-por-tercera-vez-a-diaz-ayuso-por-incumplir-la-ley-electoral.html,Ñbrevu,"La Junta Electoral provincial ha amonestado a Isabel Díaz Ayuso por aprovechar un acto institucional en el hospital de La Paz, al que acudió como presidenta, para promocionar su candidatura en la carrera electoral del 4 de mayo. La Junta Electoral provincial ya advirtió el 25 de marzo a Díaz Ayuso por emplear una rueda de prensa como presidenta para pedir el voto. Y el 8 de abril le pidió que “en futuros actos institucionales se abstenga de utilizar expresiones que puedan suponer campaña de logros”.",765,1375,81,257,508,6,politica,436,10-04-21 11:16
71," Iglesias propone dentista y psiquiatra gratis, 1.000 millones más a la Sanidad pública y contratar 10.000 efectivos ",https://amp.europapress.es/madrid/noticia-iglesias-propone-dentista-psiquiatra-gratis-1000-millones-mas-sanidad-publica-contratar-10000-efectivos-20210409131646.html?__twitter_impression=true,rodda2206,"El candidato de Unidas Podemos a la Presidencia de la Comunidad de Madrid, Pablo Iglesias, ha propuesto este viernes una cobertura pública y gratuita de salud bucodental, oftanmológica, fisioterapéutica y mental, aumentar la financiación de la Sanidad Pública en 1.000 millones de euros anuales y contratar a 10.000 nuevos efectivos y mejorar las condiciones salariales y laborales de los profesionales sanitarios ""para que no tengan que emigrar a otras comunidades autónomas o a otros países"".",1213,1217,774,477,736,14,actualidad,457,10-04-21 08:29
72," La Cabra: ""Control Mental"" (Pierre Richard&Gerard Depardieu) ",https://www.youtube.com/watch?v=qtZGsygrQBk,esbrutafio,Escena ultraviolenta del cine de artes marciales. Prodigiosa demostración de fuerza.,247,9001,52,125,122,3,ocio,507,10-04-21 08:51
73, Vivir sobre 5.000 mill. de €: la mina de oro más grande de Europa está en Asturias y es una pesadilla para sus vecinos ,https://www.xataka.com/ecologia-y-naturaleza/vivir-cinco-mil-millones-euros-mina-oro-grande-europa-esta-asturias-pesadilla-para-sus-vecinos-1/amp?__twitter_impression=true,rodda2206,"Hay 487 yacimientos de oro en Asturias y los romanos lo sabían. Uno de ellos estaba en Tapia de Casariego, a orillas del Cantábrico. Bajo la apariencia de un idílico pueblo asturiano, se esconde la que posiblemente sea la mina de oro más grande de Europa. 300.000 kilos de oro que son el objeto de deseo de la industria minera de medio mundo y la pesadilla de los habitantes de la comarca.",336,5746,76,130,206,3,actualidad,524,10-04-21 09:51
74," II República ""Mataban a los intelectuales, a los que sabían algo, para que no avanzaran en la vida, y así los ",https://twitter.com/laSextaColumna/status/1380614995814182913?s=19,rodda2206,,769,3804,163,310,459,11,actualidad,382,10-04-21 09:16
75," Joven detenido en Vallecas denuncia que dos guardias civiles le han dado ""una paliza"" en los juzgados ",https://www.publico.es/sociedad/disturbios-vallecas-jovenes-detenidos-vallecas-denuncia-guardias-civiles-le-han-dado-paliza-juzgados.html,Clarinius,"Dos partes de lesiones atestiguan los diversos hematomas e importantes heridas con las que el joven llegó a la comisaría de Moratalaz, donde agentes de la Policía Nacional le pegaron, según denuncia al mismo tiempo que afirma que dos guardias civiles le volvieron a agredir antes de salir de los juzgados en libertad con cargos.",833,3626,122,334,499,26,actualidad,415,10-04-21 08:31
76, Prisión permanente revisable para la madre que mató a su hijo de 7 años para hacer «el mayor daño posible» al padre ,https://www.lavozdeasturias.es/noticia/actualidad/2021/04/09/prision-permanente-revisable-madre-mato-hijo-7-anos-almeria-mayor-dano-posible-padre/00031617962230013678859.htm,Verdaderofalso,"Prisión permanente revisable para la madre que mató a su hijo de 7 años en Almería para hacer «el mayor daño posible» al padre. La asesina también ha sido condenada a tres años de prisión por un delito de lesiones psíquicas al padre del niño, con la prohibición de aproximarse a él.",556,1859,201,246,310,5,actualidad,423,10-04-21 09:15
77," Scriabin interpreta Scriabin, étude Op 8 Nr. 12 para piano ",https://www.youtube.com/watch?v=VfYMFNjSMnU,Waskachu,"Aleksandr Nikoláievich Scriabin (Moscú, 6 de enero de 1872 - 27 de abril de 1915) fue un compositor y pianista ruso, considerado uno de los mayores exponentes del postromanticismo y el atonalismo libre. En esta grabación, de fecha desconocida, interpreta uno de sus estudios para piano más conocidos.",88,1360,16,51,37,0,cultura,418,10-04-21 01:51
78," Shannon Wait, la joven empleada que se enfrentó a Google y le ganó ",https://www.bbc.com/mundo/noticias-56671718,TresPiesAlGato,"El momento de Shannon Wait se produjo cuando la botella de agua que le dio Google se rompió. En el centro de datos donde trabajaba hacía mucho calor, así que pidió otra. Cuenta que el subcontratista de Google para el que trabajaba se negó a dársela. Ese momento desató una reacción en cadena que llevó a un anuncio la semana pasada: Google firmó un comunicado en el que dice que los empleados de la compañía tienen derecho a hablar sobre su salario y condiciones de trabajo entre ellos.",295,4542,46,125,170,0,actualidad,361,09-04-21 23:49
79," ¿Es un pájaro? ¿Es un avión? No, es un gigantesco jurel que se grabó en la serie Blue Planet II ",https://www.vistaalmar.es/especies-marinas/general/6976-es-un-pajaro-es-un-avion-no-es-gigantesco-jurel-blue-planet-ii.html,Larpeirán,"Un súper pez que mata pájaros podría ser la mayor estrella de la serie de fauna marina de David Attenborough. Mira lo que sucede en las islas Seychelles cuando un jurel gigante  arremete contra un gaviotín apizarrado en este increíble vídeo clip de pez come pájaros de Blue Planet II. Por lo general, los jureles gigantes son cazadores solitarios, pero han llegado en grupo para probar su suerte en la captura de posibles presas.",209,6942,27,110,99,1,ocio,393,10-04-21 07:36
80, Fin del teletrabajo para Amazon y Google ,https://magnet.xataka.com/en-diez-minutos/amazon-google-se-han-cansado-teletrabajo-regreso-a-oficina-esta-a-vuelta-esquina,caracol_aventurero,"El fin de la pandemia está más cerca, y con ella, también el teletrabajo para algunos los trabajadores de grandes corporaciones como Google o Amazon. Si bien los gigantes de Silicon Valley como Google, Facebook, Twitter y Square, ofrecieron a sus empleados la opción de trabajar desde casa por tiempo indefinido si lo deseaban, ahora han cambiado de opinión.",273,4032,206,119,154,0,actualidad,379,09-04-21 23:27
81, Un periodista refugiado palestino denuncia un interrogatorio ilegal de la Guardia Civil y el Mossad en Madrid ,https://www.publico.es/politica/guardia-civil-mossad-periodista-refugiado-palestino-espana-denuncia-interrogatorio-ilegal-guardia-civil-mossad-madrid.html,Tiopio,"Muath Hamed, refugiado en España junto a su familia, asegura que el servicio de inteligencia israelí le interrogó y amenazó en un encuentro organizado por agentes del servicio de información de la Guardia Civil en una de las sedes principales del instituto armado. El misterioso hombre aseguró trabajar para la inteligencia belga. Javier explicó a Muath que Omar era de origen palestino, pero su coartada se desmoronó cuando el periodista se percató de su marcado acento israelí, según...",629,1373,51,239,390,7,actualidad,334,10-04-21 01:19
82, Querella de Boye y 44 abogados contra la jueza Tardón por encubrir un asesinato ,https://www.elnacional.cat/es/politica/querella-boye-44-abogados-jueza-tardon-encubrimiento-asesinato_599333_102.html,candonga1,"El intento de incriminar al abogado Gonzalo Boye por un delito de blanqueo de capitales ha provocado una contundente reacción del letrado junto con cuatro asociaciones que forman parte de la Coordinadora de Abogados de Catalunya. La respuesta ha llegado en forma de querella ante el Tribunal Supremo por un delito de encubrimiento de asesinato contra la jueza María Tardón, la letrada Ángeles Monedero y el fiscal de la Fiscalía Especial Antidroga Ignacio Miguel de Lucas. Asimismo, se atribuye a la jueza Tardón un delito de prevaricación.",391,1593,92,144,247,24,actualidad,373,09-04-21 20:23
83, ¿Crisis? ¿Qué crisis? Rolls-Royce ha batido su récord de ventas esta primera parte del año ,https://www.topgear.es/noticias/garaje/crisis-crisis-rolls-royce-ha-batido-record-ventas-primera-parte-ano-845051,Meneador_Compulsivo,"El mundo se ha sumido en una crisis tanto económica como sanitaria provocada por el coronavirus. Sin embargo, esta no ha afectado a todos por igual, y sigue existiendo un grupo de afortunados que, por A o por B, han mantenido intactas sus fuentes de ingresos, y Rolls-Royce es prueba irrefutable de ello. La firma de lujo inglesa ha batido el récord de ventas de vehículos a lo largo de esta primera mitad de año, la mejor en sus 116 años de vida, con un crecimiento de un 62% en ventas.",304,849,53,130,174,2,actualidad,362,09-04-21 19:46
84, Los mendigos del mar: la piratería en tiempos del rey Felipe II ,https://www.ocesaronada.net/los-mendigos-del-mar/,Skar2791,"Los mendigos de mar aparecieron ante la necesidad de los rebeldes flamencos de dominar las aguas del canal de la Mancha y perjudicar el contacto entre la península ibérica y Países Bajos, y sobre todo ante la inferioridad militar ante los tercios.",89,1172,9,49,40,0,cultura,386,10-04-21 00:07
85," «Silencio, que estoy leyendo la prensa», pide un padre de familia mientras revisa memes fascistas en Whatsapp ",https://www.elmundotoday.com/2021/04/silencio-que-estoy-leyendo-la-prensa-pide-un-padre-de-familia-mientras-revisa-memes-fascistas-en-whatsapp/,halcondeoro,"«Silencio, que estoy leyendo la prensa», ha pedido esta mañana José Troncales Mocho, de Guadalajara, a sus tres hijos, que hacían ruido y le impedían concentrarse mientras revisaba varios grupos de Whatsapp con memes fascistas. Este hábito de repasar bulos, vídeos reenviados miles de veces e imágenes diseñadas para reforzar sus sesgos ideológicos ha sustituido a la rutina anterior, consistente en desayunar con el periódico en papel desplegado sobre la mesa de la cocina.",457,967,43,212,245,13,ocio,352,09-04-21 15:50
86, Exigen al Gobierno que anule la inmatriculación del Patio de los Naranjos para que sea otra vez una plaza pública ,https://www.eldiario.es/andalucia/sevilla/exigen-gobierno-anule-inmatriculacion-patio-naranjos-sea-vez-plaza-publica-sevilla_1_7393944.html,nereira,"La concentración que este viernes ha llevado a cabo la Plataforma en Defensa del Patrimonio de Sevilla se ha convocado junto al templo metropolitano con el lema de Recuperemos el Patio de los Naranjos, que por cierto en 2010 no fue registrado como tal: la Iglesia inmatriculó la Catedral y lo que tildó de ""dependencias anexas"", que no son otras que este patio… y la Giralda. ""Que se devuelva al uso público lo que es de dominio público"", exige esta asociación, que ha dado el paso de mandar una carta a la vicepresidenta primera del Gobierno",387,396,14,152,235,2,cultura,358,09-04-21 20:07
87, El Sol como nunca lo viste gracias a una foto de 230 megapíxeles ,https://hipertextual.com/2021/04/sorprendente-foto-del-sol-230-megapixeles,bercio,El joven astrofotógrafo Andrew McCarthy compartió una impresionante fotografía del Sol de 230 megapíxeles compuesta por 100.000 imágenes.,133,3750,12,68,65,0,ciencia,328,09-04-21 21:18
88, La Junta Electoral de Madrid ordena la retirada del cartel gigante de Gabilondo de Callao ,https://cadenaser.com/emisora/2021/04/09/radio_madrid/1617993886_803154.html?ssm=tw,Nividhia,"[C&P] La Junta Provincial de Madrid ha requerido la retirada del cartel desplegado por el PSOE-M en la fachada del Palacio de la Prensa, en la que llaman a la ciudadanía para evitar ""el Gobierno de Colón"" y que llegue la ""ultraderecha"" para dirigir las instituciones, hasta el inicio de la campaña",164,1843,55,68,96,0,politica,392,09-04-21 21:00
89, El conductor de la excavadora del canal de Suez durmió 3 horas al día; no le pagaron aún las horas extras ,https://www.businessinsider.es/conductor-excavadora-canal-suez-durmio-3-horas-dia-844753?amp=1&__twitter_impression=true,rodda2206,"Cuando el conductor de excavadoras Abdullah Abdul-Gawad se enteró de que había una emergencia en el canal de Suez, pensó que eso iba a significar que no tendría trabajo ese día. Sin embargo, las horas que le esperaban —y los cinco días y noches siguientes— le depararon todo lo contrario. El 23 de marzo, el Ever Given, un buque portacontenedores del tamaño de un rascacielos, terminó encallado en las orillas del canal, y el jefe de Abdul-Gawad se puso en contacto con él de inmediato.",536,1628,56,198,338,2,actualidad,383,09-04-21 23:45
90, Esa oferta de trabajo en LinkedIn es falsa: el archivo zip te instalará una puerta trasera abierta para atacantes ,https://www.xataka.com/pro/esa-oferta-trabajo-linkedin-falsa-archivo-zip-te-instalara-puerta-trasera-abierta-para-atacantes,me_joneo_pensando_en_ti,"Según explica eSentire, los atacantes envían un archivo zip malicioso utilizando el puesto de trabajo que figura en el perfil de LinkedIn del objetivo. Es decir, si eres un Ejecutivo de cuentas sénior, el archivo zip malicioso se llamaría “Ejecutivo de cuentas sénior position”. Si se abre este archivo, la víctima, sin saberlo, inicia la instalación de una puerta trasera denominada more_eggs. Una vez cargada, esta puerta trasera puede descargar otros archivos maliciosos y facilitar el acceso al ordenador de la víctima.",134,780,23,61,73,0,tecnología,370,09-04-21 14:21
